country,year,life_expectancy,gdp_per_capita,population
afg,1800,28.21,603.0,3280000
afg,1801,28.2,603.0,3280000
afg,1802,28.19,603.0,3280000
afg,1803,28.18,603.0,3280000
afg,1804,28.17,603.0,3280000
afg,1805,28.16,603.0,3280000
afg,1806,28.15,603.0,3280000
afg,1807,28.14,603.0,3280000
afg,1808,28.13,603.0,3280000
afg,1809,28.12,603.0,3280000
afg,1810,28.11,604.0,3280000
afg,1811,28.1,604.0,3280779
afg,1812,28.09,604.0,3282342
afg,1813,28.08,604.0,3284692
afg,1814,28.07,604.0,3287834
afg,1815,28.06,604.0,3291770
afg,1816,28.05,604.0,3296506
afg,1817,28.04,604.0,3302044
afg,1818,28.03,604.0,3308390
afg,1819,28.02,604.0,3315547
afg,1820,28.01,604.0,3323519
afg,1821,28.0,607.0,3332311
afg,1822,27.99,609.0,3341926
afg,1823,27.98,611.0,3352368
afg,1824,27.97,613.0,3363642
afg,1825,27.95,615.0,3375751
afg,1826,27.94,617.0,3388701
afg,1827,27.93,619.0,3402494
afg,1828,27.92,621.0,3417136
afg,1829,27.91,623.0,3432630
afg,1830,27.9,625.0,3448982
afg,1831,27.89,627.0,3466194
afg,1832,27.88,630.0,3483492
afg,1833,27.87,632.0,3500877
afg,1834,27.86,634.0,3518348
afg,1835,27.85,636.0,3535906
afg,1836,27.84,638.0,3553552
afg,1837,27.83,640.0,3571286
afg,1838,27.82,643.0,3589109
afg,1839,27.81,645.0,3607021
afg,1840,27.8,647.0,3625022
afg,1841,27.79,649.0,3643112
afg,1842,27.78,651.0,3661294
afg,1843,27.77,654.0,3679565
afg,1844,27.76,656.0,3697928
afg,1845,27.75,658.0,3716383
afg,1846,27.74,660.0,3734930
afg,1847,27.73,663.0,3753569
afg,1848,27.72,665.0,3772301
afg,1849,27.71,667.0,3791127
afg,1850,27.7,669.0,3810047
afg,1851,27.69,672.0,3826140
afg,1852,27.68,674.0,3842299
afg,1853,27.67,676.0,3858524
afg,1854,27.66,678.0,3874815
afg,1855,27.65,681.0,3891173
afg,1856,27.64,683.0,3907598
afg,1857,27.63,685.0,3924089
afg,1858,27.62,688.0,3940648
afg,1859,27.61,690.0,3957274
afg,1860,27.6,692.0,3973968
afg,1861,27.59,695.0,3991172
afg,1862,27.58,697.0,4008889
afg,1863,27.57,699.0,4027125
afg,1864,27.56,702.0,4045883
afg,1865,27.54,704.0,4065170
afg,1866,27.53,707.0,4084989
afg,1867,27.52,709.0,4105346
afg,1868,27.51,711.0,4126245
afg,1869,27.5,714.0,4147692
afg,1870,27.49,716.0,4169690
afg,1871,27.55,719.0,4192245
afg,1872,27.61,721.0,4215362
afg,1873,27.66,724.0,4236341
afg,1874,27.72,726.0,4260730
afg,1875,27.78,729.0,4285744
afg,1876,27.84,731.0,4311388
afg,1877,27.9,734.0,4336107
afg,1878,27.96,736.0,4363439
afg,1879,28.01,739.0,4391478
afg,1880,28.07,741.0,4419695
afg,1881,28.13,744.0,4447479
afg,1882,28.19,746.0,4476050
afg,1883,28.24,749.0,4504802
afg,1884,28.3,751.0,4533190
afg,1885,28.36,754.0,4562304
afg,1886,28.42,756.0,4591602
afg,1887,28.48,759.0,4620608
afg,1888,28.53,761.0,4650274
afg,1889,28.59,764.0,4680128
afg,1890,28.65,767.0,4710171
afg,1891,28.71,769.0,4740404
afg,1892,28.76,772.0,4770828
afg,1893,28.82,774.0,4801444
afg,1894,28.88,777.0,4832253
afg,1895,28.93,780.0,4863258
afg,1896,28.99,782.0,4894458
afg,1897,29.05,785.0,4925855
afg,1898,29.11,788.0,4957450
afg,1899,29.16,790.0,4989245
afg,1900,29.22,793.0,5021241
afg,1901,29.28,796.0,5053439
afg,1902,29.33,798.0,5085403
afg,1903,29.39,801.0,5118005
afg,1904,29.45,804.0,5150814
afg,1905,29.5,807.0,5183829
afg,1906,29.55,809.0,5217053
afg,1907,29.61,812.0,5249854
afg,1908,29.66,815.0,5283495
afg,1909,29.72,818.0,5317347
afg,1910,29.77,820.0,5351413
afg,1911,29.83,823.0,5385509
afg,1912,29.89,826.0,5420004
afg,1913,29.94,829.0,5459010
afg,1914,30.0,833.0,5502589
afg,1915,30.06,837.0,5550805
afg,1916,30.11,841.0,5599440
afg,1917,30.17,845.0,5648497
afg,1918,7.89,849.0,5704092
afg,1919,30.28,853.0,5758692
afg,1920,30.34,857.0,5813814
afg,1921,30.39,863.0,5869464
afg,1922,30.45,868.0,5925647
afg,1923,30.5,874.0,5982368
afg,1924,30.56,880.0,6039631
afg,1925,30.61,885.0,6097443
afg,1926,30.67,891.0,6155808
afg,1927,30.73,897.0,6214731
afg,1928,30.78,903.0,6274219
afg,1929,30.84,909.0,6334276
afg,1930,30.89,915.0,6394908
afg,1931,30.95,921.0,6456120
afg,1932,31.0,927.0,6517918
afg,1933,31.06,933.0,6580308
afg,1934,31.11,939.0,6643295
afg,1935,31.17,945.0,6706885
afg,1936,31.22,951.0,6771083
afg,1937,31.28,957.0,6835896
afg,1938,31.33,963.0,6901330
afg,1939,31.39,969.0,6967389
afg,1940,31.44,976.0,7034081
afg,1941,31.5,982.0,7101412
afg,1942,31.55,988.0,7169387
afg,1943,31.61,995.0,7238012
afg,1944,31.66,1001.0,7307295
afg,1945,31.72,1007.0,7377241
afg,1946,31.76,1014.0,7447856
afg,1947,31.81,1020.0,7519147
afg,1948,31.87,1027.0,7591120
afg,1949,31.92,1033.0,7663783
afg,1950,31.98,1040.0,7752118
afg,1951,32.36,1055.0,7839510
afg,1952,33.05,1074.0,7934980
afg,1953,33.73,1122.0,8038596
afg,1954,34.43,1127.0,8150447
afg,1955,35.13,1131.0,8270581
afg,1956,35.82,1161.0,8399030
afg,1957,36.53,1141.0,8535807
afg,1958,37.23,1183.0,8680946
afg,1959,37.94,1194.0,8834445
afg,1960,38.65,1213.0,8996351
afg,1961,39.36,1199.0,9166764
afg,1962,40.07,1195.0,9345868
afg,1963,40.78,1192.0,9533954
afg,1964,41.51,1190.0,9731361
