season,team,position,full_name,birth_date,years_exp,college
2002,CHI,RB,Rabih Abdullah,1975-04-27,4.0,
2002,NYJ,CB,Donnie Abraham,1973-10-08,6.0,
2002,TEN,G,Tom Ackerman,1972-09-06,6.0,
2002,DAL,T,Flozell Adams,1975-05-18,4.0,
2002,OAK,DT,Sam Adams,1973-06-13,8.0,
2002,BUF,DE,Chidi Ahanotu,1970-10-11,9.0,
2002,PHI,K,David Akers,1974-12-09,5.0,
2002,CLV,SS,Chris Akins,1976-11-29,3.0,
2002,WAS,C,Ethan Albright,1971-05-01,8.0,
2002,PIT,FS,Brent Alexander,1971-07-10,8.0,
2002,MIN,WR,Derrick Alexander,1971-11-06,8.0,
2002,SD,TE,Stephen Alexander,1975-11-07,4.0,
2002,HST,RB,James Allen,1975-03-28,5.0,
2002,DAL,G,Larry Allen,1971-11-27,8.0,
2002,KC,CB,Taje Allen,1973-11-06,5.0,
2002,KC,G,Victor Allotey,1975-04-08,4.0,
2002,PIT,TE,John Allred,1974-09-09,5.0,
2002,TB,FB,Mike Alstott,1973-12-21,6.0,
2002,ATL,CB,Ashley Ambrose,1970-09-17,10.0,
2002,KC,C,Jason Andersen,1975-09-03,4.0,
2002,KC,K,Morten Andersen,1960-08-19,20.0,
2002,MIN,K,Gary Anderson,1959-07-16,20.0,
2002,NYJ,FB,Richie Anderson,1971-09-13,9.0,
2002,CIN,T,Willie Anderson,1975-07-11,6.0,
2002,NE,G,Joe Andruzzi,1975-08-23,5.0,
2002,CIN,SS,JoJuan Armour,1976-07-10,3.0,
2002,WAS,OLB,Jessie Armstead,1970-10-26,9.0,
2002,OAK,DE,Trace Armstrong,1965-10-05,13.0,
2002,KC,OLB,Larry Atkins,1975-07-21,3.0,
2002,CHI,CB,Jerry Azumah,1977-09-01,3.0,
2002,OAK,G,Brad Badger,1975-01-11,5.0,
2002,WAS,CB,Champ Bailey,1978-06-22,3.0,
2002,GB,WR,Karsten Bailey,1977-04-26,3.0,
2002,HST,QB,Tony Banks,1973-04-05,6.0,
2002,DET,TE,Bradford Banta,1970-12-14,8.0,
2002,TB,CB,Ronde Barber,1975-04-07,5.0,
2002,PHI,OLB,Shawn Barber,1975-01-14,4.0,
2002,NYG,RB,Tiki Barber,1975-04-07,5.0,
2002,WAS,P,Bryan Barker,1964-06-28,14.0,
2002,TB,WR,Reggie Barlow,1973-01-22,6.0,
2002,NYG,MLB,Mike Barrow,1970-04-19,9.0,
2002,OAK,OLB,Eric Barton,1977-09-29,3.0,
2002,PHI,TE,Mike Bartrum,1970-06-23,9.0,
2002,PIT,QB,Charlie Batch,1974-12-05,4.0,
2002,MIN,WR,D'Wayne Bates,1975-12-04,3.0,
2002,PIT,TE,Marco Battaglia,1973-01-25,6.0,
2002,CHI,TE,Fred Baxter,1971-06-14,9.0,
2002,NYJ,CB,Aaron Beasley,1973-07-07,6.0,
2002,SF,FB,Fred Beasley,1974-09-18,4.0,
2002,NO,FS,Jay Bellamy,1972-07-08,8.0,
2002,KC,FS,Jason Belser,1970-05-28,10.0,
2002,CIN,RB,Brandon Bennett,1973-02-03,7.0,
2002,SD,P,Darren Bennett,1965-01-09,8.0,
2002,NYG,RB,Sean Bennett,1977-03-17,3.0,
2002,SL,P,Mitch Berger,1972-06-24,8.0,
2002,DEN,DE,Bert Berry,1975-08-15,5.0,
2002,PIT,RB,Jerome Bettis,1972-02-16,9.0,
2002,DEN,QB,Steve Beuerlein,1965-03-07,15.0,
2002,DET,C,Eric Beverly,1974-03-28,5.0,
2002,GB,P,Josh Bidwell,1976-03-13,3.0,
2002,MIN,MLB,Greg Biekert,1969-03-14,9.0,
2002,SD,C,David Binn,1972-02-06,8.0,
2002,MIN,C,Matt Birk,1976-07-23,4.0,
2002,PHI,SS,Blaine Bishop,1970-07-24,9.0,
2002,GB,G,Jeff Blackshear,1969-03-29,9.0,
